Symbol,Previous,Estimate,Reported,Next,Guidance,06-11,06-10,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
AMSC,2025-05-21,0.1,0.12,2025-08-04,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
OXLC,2025-05-19,,,2025-07-24,,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
CPRT,2025-05-22,0.42,0.42,2025-09-02,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
DOMO,2025-05-21,-0.2,-0.09,2025-08-27,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
URBN,2025-05-21,0.84,1.16,2025-08-19,,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.44
MOD,2025-05-20,0.96,1.12,2025-07-28,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
TUYA,2025-05-20,0.02,0.03,2025-08-25,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
WIX,2025-05-21,1.6,1.69,2025-08-05,,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
SVM,2025-05-22,0.08,-0.03,2025-08-11,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14
TRNS,2025-05-19,0.37,0.39,2025-07-28,,0.4,0.4,0.4,0.4,0.4,0.43,0.43,0.43,0.43,0.43,0.43,0.43
QFIN,2025-05-19,12.52,13.53,2025-08-11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSPD,2025-05-22,0.11,0.1,2025-07-30,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
CBAT,2025-05-19,,-0.02,2025-08-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGEN,2025-05-19,-0.05,-0.08,2025-08-04,,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
ARBE,2025-05-20,-0.15,-0.13,2025-08-04,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
BAH,2025-05-23,1.59,1.61,2025-07-24,,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.58
GDS,2025-05-20,-0.91,3.44,2025-08-19,,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44
MDT,2025-05-21,1.58,1.62,2025-08-19,,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
TOL,2025-05-20,2.83,3.5,2025-08-18,,3.6,3.6,3.6,3.6,3.6,3.6,3.59,3.59,3.59,3.59,3.59,3.65
